pathway,pval,padj,log2err,ES,NES,size,cell_type
Cholesterol homeostasis,0.031312525010004,0.062625050020008,0.08097103931857984,-0.35233863805371074,-1.4363539617122385,61,L4 IT
Fatty acid metabolism,0.5182174043962662,0.5757971159958514,0.017294649411970738,-0.1831396252220953,-0.9809769312186625,376,L4 IT
Lipid transport,0.9884439131301056,0.9884439131301056,0.010281918721070479,0.1673773427512995,0.5106255578516228,18,L4 IT
Mevalonate / isoprenoid,0.0067803370226343605,0.023564263111829263,0.17530107312896726,-0.4471699347358025,-1.6786924366528297,42,L4 IT
Phospholipid metabolism,0.002611228281610927,0.023564263111829263,0.285495695906021,-0.2602327509950124,-1.3854676575428508,356,L4 IT
SREBP regulation,0.3493047914374312,0.49900684491061603,0.022182396881045147,-0.2523896226344888,-1.0577310589803757,70,L4 IT
Sphingolipid metabolism,0.007069278933548778,0.023564263111829263,0.1727517659597919,-0.3026341654565686,-1.4479185446281628,151,L4 IT
Steroid metabolism,0.45606778977100776,0.5700847372137597,0.018877581449710815,-0.19442898746847342,-0.9976249121957832,254,L4 IT
Sterol biosynthesis,0.18785578747628084,0.31309297912713474,0.03166624260116655,-0.29280884037482896,-1.1821194449245758,58,L4 IT
Cholesterol homeostasis,0.40324900583805734,0.5376653411174097,0.018239843336415668,-0.39217402209537655,-1.0452190865868516,13,L5 ET
Fatty acid metabolism,0.5523054040654437,0.6312061760747928,0.022777593703777695,0.2094101566931722,0.956527744572089,89,L5 ET
Mevalonate / isoprenoid,0.26262712588667636,0.4202034014186822,0.023944787634422586,-0.4766784413787418,-1.1793440838528189,10,L5 ET
Phospholipid metabolism,0.10731475832146974,0.2861726888572526,0.034801942059293725,-0.2787883485976833,-1.229644930127669,142,L5 ET
SREBP regulation,0.022402933907358685,0.08961173562943474,0.08553441742703378,-0.48047026193001197,-1.5593697424460304,27,L5 ET
Sphingolipid metabolism,0.9060054184226369,0.9060054184226369,0.008296196124306371,-0.19481004439021182,-0.7302819295861982,53,L5 ET
Steroid metabolism,0.16133050040295993,0.32266100080591986,0.02900631539937956,-0.30747859256465127,-1.209964002273725,68,L5 ET
Sterol biosynthesis,0.011221840716857884,0.08961173562943474,0.12444532991869445,-0.6090757939101115,-1.6894732199945162,15,L5 ET
Cholesterol biosynthesis,4.2617777871578887e-8,4.2617777871578885e-7,0.7195128263389107,-0.7598702573119144,-2.4419050967283673,23,L5 IT
Cholesterol homeostasis,0.0019228726230575968,0.004807181557643992,0.45505986738722953,-0.44412475745970803,-1.7823726321272606,61,L5 IT
Fatty acid metabolism,0.9417494454624361,0.9417494454624361,0.010444658526855966,-0.1619006399120753,-0.8430049292001529,366,L5 IT
Lipid transport,0.49542124542124544,0.5504680504680505,0.017984761820493272,0.3383707526158,0.9690635376812963,15,L5 IT
Mevalonate / isoprenoid,1.4055803035834674e-5,7.027901517917337e-5,0.5933254763964051,-0.5879708763546023,-2.167118930026607,41,L5 IT
