sample_id,x,y,subclass,supertype,layer,qc_pass
Br1139,2270.20552,3445.305092,L4 IT,L4 IT_1,L4,True
Br1139,2315.74852,3440.808588,Astrocyte,Astro_6-SEAAD,L5,True
Br1139,2268.913532,3637.940576,L2/3 IT,L2/3 IT_1,L5,False
Br1139,2304.766524,3674.499052,L5 IT,L5 IT_5,L5,True
Br1139,2261.535548,3671.09906,Microglia-PVM,Micro-PVM_2_3-SEAAD,L5,True
Br1139,2272.942556,3648.225556,L4 IT,L4 IT_1,L5,False
Br1139,2312.73954,3666.951092,L5 IT,L5 IT_1,L5,True
Br1139,2322.710048,3639.198572,Astrocyte,Astro_2,L5,True
Br1139,2315.332032,3611.845576,L5 IT,L5 IT_5,L5,False
Br1139,2313.870024,3637.243568,Astrocyte,Astro_2,L5,True
Br1139,2307.971052,3505.536104,Astrocyte,Astro_5,L5,True
Br1139,2297.754036,3519.57806,L4 IT,L4 IT_4,L5,True
Br1139,2308.65104,3518.558068,Microglia-PVM,Micro-PVM_2_1-SEAAD,L5,True
Br1139,2357.84052,3714.313096,VLMC,VLMC_1,Vascular,False
Br1139,2362.056528,3727.547572,Endothelial,Endo_1,Vascular,True
Br1139,2360.399036,3721.657064,VLMC,SMC-SEAAD,Vascular,True
Br1139,2366.230024,3715.622056,VLMC,VLMC_1,Vascular,True
Br1139,2363.86702,3705.328608,Endothelial,Endo_1,Vascular,True
Br1139,2374.067036,3722.481584,VLMC,SMC-SEAAD,Vascular,True
Br1139,2370.063532,3726.08558,VLMC,SMC-SEAAD,Vascular,True
Br1139,2378.274524,3727.879056,VLMC,Pericyte_2-SEAAD,Vascular,True
Br1139,2387.794512,3727.26706,VLMC,Pericyte_2-SEAAD,Vascular,False
Br1139,2372.171528,3716.79504,VLMC,SMC-SEAAD,Vascular,True
Br1139,2375.30804,3706.425064,VLMC,SMC-SEAAD,Vascular,True
Br1139,2376.081512,3712.647068,VLMC,SMC-SEAAD,Vascular,True
Br1139,2270.724052,3697.976072,Sst,Sst_10,L5,True
Br1139,2286.959036,3733.140548,Sst,Sst_19,L5,True
Br1139,2273.240036,3709.54458,Oligodendrocyte,Oligo_2_1-SEAAD,L5,True
Br1139,2279.377012,3703.900548,Oligodendrocyte,Oligo_2_1-SEAAD,L5,True
Br1139,2331.745548,3850.763572,Astrocyte,Astro_5,L5,True
Br1139,2262.581012,3756.915052,L4 IT,L4 IT_4,L5,False
Br1139,2292.280024,3790.949052,L5 IT,L5 IT_5,L5,True
Br1139,2282.48804,3784.65908,Oligodendrocyte,Oligo_2_1-SEAAD,L5,True
Br1139,2290.962508,3774.306056,Sst,Sst_19,L5,True
Br1139,2299.98954,3828.723096,Endothelial,Endo_1,L5,True
Br1139,2330.377044,3734.415564,VLMC,SMC-SEAAD,Vascular,True
Br1139,2335.40904,3742.074072,VLMC,SMC-SEAAD,Vascular,True
Br1139,2342.719036,3499.756068,Microglia-PVM,Micro-PVM_2_1-SEAAD,L5,True
Br1139,2357.118032,3511.545596,VLMC,Pericyte_2-SEAAD,L5,True
Br1139,2346.561032,3494.290572,Microglia-PVM,Micro-PVM_2_3-SEAAD,L5,True
Br1139,2412.249036,3623.133564,Microglia-PVM,Micro-PVM_3-SEAAD,L5,True
Br1139,2402.321048,3665.463588,L4 IT,L4 IT_1,L5,True
Br1139,2395.045016,3657.728552,Pvalb,Pvalb_12,L5,True
Br1139,2425.628032,3659.513564,Astrocyte,Astro_2,L5,True
Br1139,2385.584528,3637.218092,Chandelier,Chandelier_2,L5,True
Br1139,2399.00602,3630.120568,Oligodendrocyte,Oligo_2_1-SEAAD,L5,True
Br1139,2385.63554,3588.895572,Astrocyte,Astro_2,L5,True
Br1139,2382.541532,3610.230572,L5 IT,L5 IT_5,L5,True
Br1139,2389.656028,3597.31058,Astrocyte,Astro_2,L5,True
Br1139,2351.797016,3599.80956,L5 IT,L5 IT_5,L5,True
Br1139,2362.175524,3587.867052,Endothelial,Endo_2,L5,True
Br1139,2357.985032,3606.295088,L5 IT,L5 IT_5,L5,True
Br1139,2416.703052,3542.103092,Astrocyte,Astro_2,L5,True
Br1139,2363.858548,3574.122564,L4 IT,L4 IT_3,L5,True
Br1139,2373.123528,3563.531552,L5 IT,L5 IT_5,L5,True
Br1139,2371.219528,3572.278052,L4 IT,L4 IT_2,L5,True
