supertype,beta,se,t_stat,p_value,n_genes,p_bonferroni,p_fdr,source
DLIT_139,4.529146878786593,2.962159821151506,1.5290015232959098,0.06314170105091899,16363,1.0,0.1732638344313908,Conti
DLNP_83,4.787027944824661,3.141540425475447,1.523783652760153,0.06379104784375333,16363,1.0,0.17400989973946918,Conti
COP_41,4.87858737456085,3.219904193540157,1.5151343273965667,0.06487885585100484,16363,1.0,0.1759361914547837,Conti
DLNP_91,4.954688964862723,3.314272724254874,1.4949551159754522,0.0674727232220379,16363,1.0,0.18190014856935363,Conti
Splat_350,4.3360647540186665,2.9357101732727013,1.4770070947381237,0.06984649313043134,16363,1.0,0.18720484496005146,Conti
Splat_354,8.957714764317254,6.080307164215348,1.4732339209828769,0.07035360632723742,16363,1.0,0.18747406079107776,Conti
DLNP_85,5.871577129210564,4.044455420551871,1.4517596360128455,0.07329381443308891,16363,1.0,0.1941864853658275,Conti
Misc_176,2.2383475212841533,1.5629241776816187,1.4321536215559934,0.07605948439237253,16363,1.0,0.19981884697668847,Conti
CGE_282,2.6455436390180203,1.8492960196657624,1.4305679625570005,0.07628658799977694,16363,1.0,0.19981884697668847,Conti
Midi_441,6.5325654413348655,4.637924068090423,1.4085106494691977,0.07949946086652715,16363,1.0,0.2064080234851468,Conti
Thex_451,4.807110452577381,3.416149532471927,1.4071721412905933,0.07969767501161851,16363,1.0,0.2064080234851468,Conti
Mmb_333,3.187043770647951,2.274737349722848,1.4010601140550392,0.08060753394970321,16363,1.0,0.2075981740268893,Conti
DLIT_144,6.510526880037675,4.683768880306992,1.3900188174124746,0.08227103877574238,16363,1.0,0.21070527153120686,Conti
Midi_440,6.436576840442423,4.6879307868358415,1.373010211353151,0.08488399634183907,16363,1.0,0.21619625587617575,Conti
MSN_216,7.7357284974451135,5.652018125319,1.3686666118057627,0.08556115330800629,16363,1.0,0.21672358063181812,Conti
Thex_448,1.639230129711723,1.2199696912108848,1.3436646348850683,0.0895377478914281,16363,1.0,0.22555684031665768,Conti
Amex_419,5.580469956980326,4.19425598467764,1.3305029491206,0.09168558116395231,16363,1.0,0.22868787436560364,Conti
Splat_411,2.552535362990315,1.9192379216073232,1.3299733890484082,0.09177279123131599,16363,1.0,0.22868787436560364,Conti
Splat_402,3.673223533061913,2.86905690034701,1.2802895378678756,0.10023074003082921,16363,1.0,0.2484213502914638,Conti
Midi_435,1.7948115653988272,1.4079604863841937,1.2747598975651029,0.10120617272083321,16363,1.0,0.24949757018344443,Conti
ULIT_127,1.7556860386476818,1.3836403877314085,1.2688889788236613,0.10224935930444756,16363,1.0,0.2507284821242039,Conti
Midi_437,4.305008341839921,3.40782835164727,1.2632702993268348,0.1032550304198574,16363,1.0,0.25185486255848816,Conti
Splat_373,4.242112545419258,3.3689936787844017,1.2591631062216462,0.10399469587298915,16363,1.0,0.2523239726181474,Conti
