cell_type,source,group,cell_class,color,n_genes,beta,se,p,neglog10p,fdr,bonferroni,depleted_scz
Fbl_26,Siletti,Fibroblast,Siletti,#9e9e9e,15981,-8.1942,1.9247,0.99999,4.342966533881614e-06,1.0,1.0,False
Fbl_27,Siletti,Fibroblast,Siletti,#9e9e9e,15981,-9.0235,2.1037,0.99999,4.342966533881614e-06,1.0,1.0,False
Fbl_28,Siletti,Fibroblast,Siletti,#9e9e9e,15981,-6.0836,1.539,0.99996,1.7372126720998196e-05,1.0,1.0,False
Fbl_29,Siletti,Fibroblast,Siletti,#9e9e9e,15981,-4.4489,1.2624,0.99979,9.121141873390599e-05,1.0,1.0,False
Fbl_30,Siletti,Fibroblast,Siletti,#9e9e9e,15981,-8.414,2.0261,0.99998,8.68597649812824e-06,1.0,1.0,False
Fbl_31,Siletti,Fibroblast,Siletti,#9e9e9e,15981,-8.0777,1.5223,1.0,-0.0,1.0,1.0,False
OPC_32,Siletti,Oligodendrocyte precursor,Siletti,#9e9e9e,15981,0.88405,3.5735,0.40231,0.395439172273771,0.5026366832917706,1.0,False
OPC_33,Siletti,Oligodendrocyte precursor,Siletti,#9e9e9e,15981,2.6582,3.7494,0.23918,0.6212751384494327,0.3265100272479564,1.0,False
OPC_34,Siletti,Oligodendrocyte precursor,Siletti,#9e9e9e,15981,3.0311,4.0837,0.22898,0.6402024489655995,0.31343983606557374,1.0,False
OPC_36,Siletti,Oligodendrocyte precursor,Siletti,#9e9e9e,15981,1.0944,3.8089,0.38693,0.41236759664381295,0.48952507575757576,1.0,False
COP_38,Siletti,Committed oligodendrocyte precursor,Siletti,#9e9e9e,15981,0.98648,2.8999,0.36687,0.4354878002831498,0.4688823214285714,1.0,False
COP_39,Siletti,Committed oligodendrocyte precursor,Siletti,#9e9e9e,15981,0.92569,2.2008,0.33702,0.4723443257402141,0.4340540359897172,1.0,False
COP_41,Siletti,Committed oligodendrocyte precursor,Siletti,#9e9e9e,15981,7.4642,3.9641,0.029865,1.5248374809169092,0.05984946,1.0,False
COP_42,Siletti,Committed oligodendrocyte precursor,Siletti,#9e9e9e,15981,8.6643,3.9657,0.014459,1.8398617422765982,0.033692832558139534,1.0,False
COP_43,Siletti,Committed oligodendrocyte precursor,Siletti,#9e9e9e,15981,3.7293,3.4205,0.1378,0.860750782428393,0.207495,1.0,False
Oligo_46,Siletti,Oligodendrocyte,Siletti,#9e9e9e,15981,1.8075,2.9083,0.26714,0.5732610783633659,0.3578533155080214,1.0,False
Oligo_48,Siletti,Oligodendrocyte,Siletti,#9e9e9e,15981,-0.81056,2.3845,0.63304,0.19856884728054713,0.7587393301435408,1.0,False
Oligo_49,Siletti,Oligodendrocyte,Siletti,#9e9e9e,15981,-1.571,2.1283,0.76977,0.11363901853155273,0.9010625467289719,1.0,False
Oligo_50,Siletti,Oligodendrocyte,Siletti,#9e9e9e,15981,-1.5478,2.1998,0.75916,0.1196666828738697,0.8907240281030444,1.0,False
Bgl_51,Siletti,Bergmann glia,Siletti,#9e9e9e,15981,0.050171,2.2811,0.49123,0.30871511817673036,0.603201544117647,1.0,False
Astro_53,Siletti,Astrocyte,Siletti,#9e9e9e,15981,-3.9379,2.9619,0.90815,0.041842412721176135,1.0,1.0,False
Astro_55,Siletti,Astrocyte,Siletti,#9e9e9e,15981,-3.9492,3.0005,0.90593,0.04290535838081426,1.0,1.0,False
Astro_56,Siletti,Astrocyte,Siletti,#9e9e9e,15981,-1.8559,3.7484,0.68974,0.16131458729865203,0.8169260992907802,1.0,False
Astro_57,Siletti,Astrocyte,Siletti,#9e9e9e,15981,-3.0896,3.2996,0.82545,0.08330922813316223,0.9539432488479263,1.0,False
Astro_59,Siletti,Astrocyte,Siletti,#9e9e9e,15981,-4.0094,2.6049,0.93811,0.027746234550492868,1.0,1.0,False
Astro_60,Siletti,Astrocyte,Siletti,#9e9e9e,15981,-3.9356,2.9636,0.9079,0.04196198390166307,1.0,1.0,False
Astro_62,Siletti,Astrocyte,Siletti,#9e9e9e,15981,-5.6459,2.6744,0.98261,0.007618820373474727,1.0,1.0,False
Astro_63,Siletti,Astrocyte,Siletti,#9e9e9e,15981,-4.0705,2.48,0.94963,0.022445573930617333,1.0,1.0,False
Astro_64,Siletti,Astrocyte,Siletti,#9e9e9e,15981,-5.2547,1.9906,0.99585,0.0018060722973983682,1.0,1.0,False
Epen_65,Siletti,Ependymal,Siletti,#9e9e9e,15981,-4.135,2.421,0.95617,0.019464886491354645,1.0,1.0,False
Epen_66,Siletti,Ependymal,Siletti,#9e9e9e,15981,-2.3547,1.5227,0.93899,0.027339032832871583,1.0,1.0,False
Epen_67,Siletti,Ependymal,Siletti,#9e9e9e,15981,-2.0416,1.6821,0.88756,0.05180227851159361,1.0,1.0,False
Epen_68,Siletti,Ependymal,Siletti,#9e9e9e,15981,-1.3355,1.4076,0.82862,0.08164458855544934,0.9543416551724139,1.0,False
Epen_69,Siletti,Ependymal,Siletti,#9e9e9e,15981,-2.0004,1.6228,0.89114,0.050054062011144394,1.0,1.0,False
Epen_70,Siletti,Ependymal,Siletti,#9e9e9e,15981,-1.7061,1.9542,0.80868,0.09222329758067287,0.9400201392111369,1.0,False
