cluster,conti_beta,conti_pvalue,conti_fdr,conti_sig,repro_beta,repro_pvalue,repro_fdr,repro_sig,both_sig
Splat_350,4.3360647540186665,0.0698464931304313,0.1872048449600514,False,2.4236706995324084,0.0628486277034664,0.174537454043964,False,False
Splat_354,8.957714764317254,0.0703536063272374,0.1874740607910777,False,3.815771307976842,0.2365546970500429,0.4680331130475099,False,False
DLNP_85,5.871577129210564,0.0732938144330889,0.1941864853658275,False,4.0723063699920115,0.1384839827227233,0.31475815702209,False,False
Misc_176,2.2383475212841533,0.0760594843923725,0.1998188469766884,False,1.2526884783240892,0.1861824437738283,0.3901368480897038,False,False
CGE_282,2.6455436390180203,0.0762865879997769,0.1998188469766884,False,3.704544898178456,0.0183907412515116,0.0693019957016485,False,False
Midi_441,6.5325654413348655,0.0794994608665271,0.2064080234851468,False,12.284675222985308,0.0057844318450124,0.0272104395974564,True,False
Thex_451,4.807110452577381,0.0796976750116185,0.2064080234851468,False,2.9607376872121858,0.1376746508493216,0.31475815702209,False,False
Mmb_333,3.187043770647951,0.0806075339497032,0.2075981740268893,False,3.0793627634687386,0.0796241720905217,0.2055151435258584,False,False
DLIT_144,6.510526880037675,0.0822710387757423,0.2107052715312068,False,3.963763173256755,0.1423898840142973,0.3186492064591799,False,False
Midi_440,6.436576840442423,0.084883996341839,0.2161962558761757,False,7.290425124177109,0.0497943386907133,0.1452860135216383,False,False
MSN_216,7.7357284974451135,0.0855611533080062,0.2167235806318181,False,6.910113154891785,0.0920517915388058,0.2245284439121136,False,False
Thex_448,1.639230129711723,0.0895377478914281,0.2255568403166576,False,1.6676355026333325,0.0805899544878803,0.2055151435258584,False,False
Amex_419,5.580469956980326,0.0916855811639523,0.2286878743656036,False,2.275326987697634,0.1995040251800794,0.41058640896436,False,False
Splat_411,2.552535362990315,0.0917727912313159,0.2286878743656036,False,3.174341497730762,0.0467130465263341,0.1380430413374361,False,False
Splat_402,3.673223533061913,0.1002307400308292,0.2484213502914638,False,-0.4720472003035922,0.6209215345423247,0.8674085679515505,False,False
Midi_435,1.7948115653988272,0.1012061727208332,0.2494975701834444,False,2.1322396269617636,0.0641921689977387,0.1761463684997473,False,False
ULIT_127,1.7556860386476818,0.1022493593044475,0.2507284821242039,False,1.615147453645558,0.117681994451934,0.2810590590728544,False,False
Midi_437,4.305008341839921,0.1032550304198574,0.2518548625584881,False,15.466694844664175,0.0006413220403845,0.0041062425085735,True,False
Splat_373,4.242112545419258,0.1039946958729891,0.2523239726181474,False,0.670423882640062,0.3506969968535488,0.6170660898835344,False,False
CBI_302,1.8054027709586329,0.1058408008997647,0.2554586869884375,False,1.1728207307689174,0.1750024305090256,0.373500557706763,False,False
Splat_365,5.879887789427661,0.1064774850299257,0.2556568781187279,False,-0.0858990877817111,0.5263360594417019,0.8034467662338562,False,False
Splat_384,4.8769791361454695,0.1096461887334999,0.2619010000318315,False,3.289837027428675,0.1840957035183571,0.3875256590043956,False,False
Splat_417,3.4492681819925757,0.1114510580020057,0.2648398852521888,False,3.919854193480425,0.0820277362445942,0.2055151435258584,False,False
Splat_339,4.622959916537822,0.1127506779112321,0.2652978174201541,False,-1.7726624237112258,0.7987182902498767,0.979881363942214,False,False
DG_202,5.752110059323967,0.112794733653688,0.2652978174201541,False,2.1155860527784927,0.3121898884322327,0.5756781542690371,False,False
DLCT6b_98,3.879756961872383,0.1159984516057432,0.2708500528016775,False,4.270430839696781,0.0694295805742952,0.1850117725130064,False,False
Splat_388,2.9100154662248223,0.1163303914419352,0.2708500528016775,False,2.400007646897208,0.1471458972197769,0.326126243357294,False,False
Splat_362,5.23443853596604,0.1181949016947787,0.2738082898557437,False,-2.4198202708531418,0.8001752252499998,0.979881363942214,False,False
MSN_210,3.4549034403172407,0.1212050737792183,0.2780461342669483,False,9.214042586061176,0.0086298022706631,0.0368364708034786,True,False
COP_42,3.740597014164218,0.1215997918044085,0.2780461342669483,False,4.3667912661913615,0.0869815667427413,0.2167486609102906,False,False
Mmb_332,4.711367167799222,0.1218336640388797,0.2780461342669483,False,6.082669417661554,0.0553906767959766,0.1595943875184077,False,False
Mmb_331,4.080213527359507,0.1239504016831843,0.2814834245120591,False,5.326705036853867,0.0466423621048048,0.1380430413374361,False,False
Thex_458,3.0707430699616594,0.1274939676092066,0.2881113679796286,False,1.9463841284305772,0.225110746811852,0.4492469882262502,False,False
Midi_442,4.902540399269533,0.1283148169523162,0.2885518566586234,False,2.1179179465884617,0.1176303911178263,0.2810590590728544,False,False
EMSN_230,2.737097002849267,0.1295939808781274,0.2900137144894017,False,4.2950585051019665,0.0511306947684168,0.148246857158743,False,False
Splat_378,3.8342621041142215,0.1303953306465521,0.2903973305703408,False,4.854855493389429,0.0813111514291883,0.2055151435258584,False,False
DLCT6b_112,5.45106640342428,0.133913755128162,0.2966428832766282,False,3.263349285717772,0.2448384466398352,0.4823526662434361,False,False
