cell_type,expr_beta,expr_fdr,expr_logp,atac_beta,atac_fdr,atac_logp,class,subclass
Sst_10,1.95149854540056,0.0227439193110832,2.2116535371568316,10.13886430614369,0.016139769750570587,2.3669157413877846,GABAergic,Sst
Sst_11,4.104587102155942,0.0024625583396125,3.5692427800899234,15.68638541508886,2.8931549610242135e-05,5.778553117631662,GABAergic,Sst
Sst_12,2.294320832787479,0.0541888278409077,1.7495982964954748,8.567366214690129,0.07112588214388484,1.5700510988090113,GABAergic,Sst
Sst_13,0.9363559220923252,0.1375834666303792,1.2347263256140848,12.8914533254286,0.0019335961133308027,3.535450525061699,GABAergic,Sst
Sst_19,1.059635010412436,0.2612762152748155,0.874522650690953,10.093608966172065,0.0067337362966958,2.8233970016639107,GABAergic,Sst
Sst_2,6.575553763377875,2.8823306034930773e-05,6.158120538902286,18.103154346461384,2.8931549610242135e-05,5.801887426242947,GABAergic,Sst
Sst_20,6.120106516513765,0.0001608164432415,5.085292074496071,14.589931359429032,0.00048156144536224614,4.418970405817634,GABAergic,Sst
Sst_22,0.900463462566915,0.3766834308842028,0.6576540627852476,11.415531275112262,0.007144545027202396,2.7705262827379142,GABAergic,Sst
Sst_23,2.7481965757253155,0.0228628873093656,2.179736863120079,24.027658359440714,4.4685528388654916e-08,9.492847902592962,GABAergic,Sst
Sst_25,2.1131490425808233,0.0849283975960303,1.526426399759011,18.797414042142357,2.3956215000664474e-05,6.064626593810831,GABAergic,Sst
Sst_3,2.324441748208561,0.0126559480964929,2.549387731370781,14.633162005512956,0.0012720801340572433,3.783227824811122,GABAergic,Sst
Sst_4,1.528272780550875,0.1161537607186637,1.3556839479740472,13.469817986097835,0.004488513056881205,3.013791052670152,GABAergic,Sst
Sst_5,0.3360467553687983,0.4992594208526499,0.4939116263994648,11.322866335377999,0.013635665238790454,2.464270425324868,GABAergic,Sst
Sst_7,0.7327055380716495,0.3593304709415487,0.7004129282786258,18.628159550244412,0.0003209083465104068,4.636633787439448,GABAergic,Sst
