gene,gwas_zstat,gwas_p,upper_sst_spec,deep_sst_spec,total_sst_spec,upper_fraction,upper_gwas_score,is_scz_gwas
KRTAP5-1,3.3524,0.00040062,0.157138586,0.0659871876,0.2849435476,0.5514726945864697,0.5267913957064,False
OR6B1,2.3199,0.010173,0.2250915,0.0,0.2250915,1.0,0.5221897708500001,False
CACNA1C,8.3922,2.3851e-17,0.062196949099999996,0.07804141499999999,0.15651859349999997,0.3973773831541619,0.52196923623702,True
NMB,6.3049,1.442e-10,0.08258847940000001,0.1137315252,0.23811560659999995,0.34684194194266654,0.5207121037690601,True
SPATA19,4.2082,1.2871e-05,0.12241311999999999,0.039847068,0.17134193349999996,0.7144376014643258,0.515138891584,False
DLX1,5.4558,2.4377e-08,0.093724789,0.13556028599999997,0.25535765,0.36703340980777355,0.5113437038262,True
RBFOX1,6.4192,6.8502e-11,0.078545075,0.091780616,0.1919112475,0.409278122169468,0.50419654544,False
CMTM8,2.9543,0.0015667,0.16993283499999998,0.1128048165,0.3178852884999999,0.5345728196540936,0.5020325744404999,False
NUDT1,6.7787,6.0637e-12,0.0740004688,0.051727479699999995,0.1385713636,0.5340242520352885,0.50162697785456,False
PCDHAC1,5.5045,1.8515e-08,0.0904706199,0.090799435,0.1999548049,0.4524553433224349,0.49799552723955,True
KIRREL3,3.9791,3.4584e-05,0.12454414999999999,0.02106685365,0.15638420955,0.7963985005799455,0.4955736272649999,False
ORM2,0.68095,0.24795,0.71790844,0.0,0.71790844,1.0,0.48885975221800004,False
EMB,4.7125,1.2233e-06,0.10343479,0.05391196609999999,0.1841666441,0.5616369375978655,0.487436447875,False
WNT3,4.981,3.1635e-07,0.0969792916,0.046365622800000006,0.1732155499,0.5598763601535062,0.4830538514596,False
AS3MT,6.1094,5e-10,0.07906285199999999,0.07989806049999999,0.176300081,0.44845612975072874,0.48302658800879994,False
GSX2,4.7546,9.9424e-07,0.1012585867,0.018990867760000002,0.13835515646,0.7318743246788564,0.48144407632381997,False
CHRNB4,6.1094,5e-10,0.07815964140000001,0.0644267321,0.24303680850000003,0.3215959009764564,0.47750851316916004,True
DPYSL5,4.8293,6.85e-07,0.0988438965,0.0595575924,0.18027662390000002,0.548290146341042,0.47734682936745,False
WBP2NL,7.3101,1.3345e-13,0.0652196194,0.0720521506,0.1522792073,0.42828972225678247,0.47676193977594,True
SPATS2L,6.9331,2.058e-12,0.0686944441,0.1221955245,0.20562379159999994,0.3340782871742358,0.47626545038970997,False
SOX6,2.5885,0.0048201,0.18300469999999996,0.1342828623,0.37109283730000003,0.49315072026586904,0.47370766594999986,False
MKX,2.6437,0.0041,0.177304959,0.016777480140000002,0.22742881314,0.7796064032170591,0.46874112010830005,False
SOX1,2.0247,0.021448,0.230822266,0.018542340499999997,0.29461952750000003,0.783458815369935,0.4673458419702,False
EGF,2.9388,0.0016476,0.15884397299999997,0.159881168,0.3624518405,0.43824849331948684,0.46681066785239994,False
LETM2,5.178,1.1211e-07,0.0890023575,0.104555865,0.21847266450000002,0.4073844098697299,0.460854207135,True
ELFN1,1.9865,0.023487,0.23149997600000002,0.21706866140000003,0.48164043139999985,0.4806489673781986,0.459874702324,False
CD274,2.4401,0.0073419,0.18843571200000003,0.030921086999999996,0.2451933172,0.7685189553771412,0.4598019808512001,False
PCDH7,5.7828,3.6737e-09,0.07909840650000001,0.0720568682,0.17077863199999999,0.463163368705284,0.45741026510820004,True
COL7A1,2.7815,0.0027057,0.162947482,0.0519850377,0.25186382570000004,0.6469665961244071,0.453238421183,False
SGCZ,3.8106,6.9322e-05,0.11836771099999999,0.04512306126,0.17946425525999998,0.6595614866509991,0.45105199953659997,False
PTPRT,4.2581,1.0311e-05,0.1053547545,0.12248703159999999,0.24605704529999997,0.42817207030812054,0.44861108013644996,True
SLC39A2,1.4325,0.075997,0.31044681,0.11137523699999999,0.4534726130000001,0.6845988072933524,0.44471505532500005,False
SYNDIG1L,2.8852,0.0019556,0.1515019552,0.0665312678,0.23066316800000003,0.6568103460713762,0.43711344114304007,False
TEKT2,4.7374,1.0825e-06,0.0919697085,0.08654057849999999,0.19471110700000002,0.47233930265724383,0.4356972970479,True
PLA2G7,3.0515,0.0011383,0.142779321,0.05678765532000001,0.21995177932,0.6491391951518403,0.43569109803149997,False
HAPLN4,6.6596,1.373e-11,0.0640385009,0.032476247900000005,0.10246158917999999,0.6250000747841222,0.42647080059364,False
PPP1R13B,7.0888,6.7635e-13,0.0600731915,0.074558985,0.15268738650000002,0.3934391234078788,0.4258468399052,True
HIRIP3,7.4121,6.2172e-14,0.057442915500000004,0.07502944219999999,0.1428275788,0.4021836397607547,0.42577263397755,True
PCDHA3,5.5012,1.8863e-08,0.07714178499999999,0.1226563744,0.21827991240000003,0.35340762304612316,0.4243723876419999,True
PCDHA7,5.5381,1.5286e-08,0.07642558499999999,0.1171903468,0.21375881180000003,0.3575318573135893,0.42325253228849996,True
AOX1,0.88488,0.18811,0.47667894600000005,0.02560091045,0.55877324445,0.8530811930145201,0.42180366573648004,False
KCTD13,7.0317,1.0204e-12,0.0598961035,0.054447210100000004,0.13257234510000002,0.4517993813477468,0.42117143098095,True
NEK4,6.7421,7.8031e-12,0.06242373300000001,0.0767613615,0.15368681249999996,0.4061749475089154,0.42086705025930005,True
ZNF385D,4.4203,4.9276e-06,0.0950447268,0.083471519,0.1955038421,0.48615273121530134,0.42012620587404004,False
DLX2,4.6606,1.5763e-06,0.09013402540000001,0.12049204999999999,0.2403709284,0.3749788961583926,0.42007863877924,True
DKK1,3.9603,3.7428e-05,0.10529494110000001,0.04763385574,0.15826730274,0.665298133455762,0.41699955523833004,True
PPP1R16B,8.5995,4.0048e-18,0.048067647699999994,0.051239190899999995,0.11290979119999998,0.4257172667590585,0.41335773639615,True
DRD3,1.2792,0.10042,0.322949752,0.01110036534,0.33660286334,0.9594385169379587,0.41311732275839996,False
C12orf65,6.9748,1.5319e-12,0.0592184924,0.08152304199999999,0.15293826530000001,0.3872052052103405,0.41303714079152004,False
PCLO,4.99,3.0189e-07,0.08273835,0.09364590900000001,0.19642977000000003,0.42121084802980724,0.4128643665,False
SPCS1,7.2499,2.0861e-13,0.056848694,0.06566133460000001,0.1351844451,0.4205268879710777,0.4121473466306,True
SLC16A10,4.5654,2.493e-06,0.09000968300000001,0.08750571119999999,0.2086546212,0.43138121016607517,0.4109302067682001,False
