gene,spearman_rho,pval,pval_fdr,abs_rho
CPEB2-DT,0.8147058823529412,0.00012130950572235612,0.03418079925149135,0.8147058823529412
VWC2,0.8147058823529412,0.00012130950572235612,0.03418079925149135,0.8147058823529412
VXN,-0.8117647058823528,0.00013432237477471035,0.035100386369555966,0.8117647058823528
RHBDD1,0.8117647058823528,0.00013432237477471035,0.035100386369555966,0.8117647058823528
CFAP36,-0.8117647058823528,0.00013432237477471035,0.035100386369555966,0.8117647058823528
ALG1L9P,0.8117647058823528,0.00013432237477471035,0.035100386369555966,0.8117647058823528
HEBP1,-0.8117647058823528,0.00013432237477471035,0.035100386369555966,0.8117647058823528
PLEKHA3,-0.8117647058823528,0.00013432237477471035,0.035100386369555966,0.8117647058823528
DOCK9-DT,-0.8117647058823528,0.00013432237477471035,0.035100386369555966,0.8117647058823528
CASP8AP2,0.8117647058823528,0.00013432237477471035,0.035100386369555966,0.8117647058823528
MRPS22,-0.8117647058823528,0.00013432237477471035,0.035100386369555966,0.8117647058823528
EXO1,-0.8112129689731802,0.0001368882016893179,0.035484707194711744,0.8112129689731802
TAF7L,0.8088235294117646,0.0001484755922323442,0.037008112423881925,0.8088235294117646
AC093512.2,-0.8088235294117646,0.0001484755922323442,0.037008112423881925,0.8088235294117646
AC012291.3,0.8088235294117646,0.0001484755922323442,0.037008112423881925,0.8088235294117646
MAP7,0.8088235294117646,0.0001484755922323442,0.037008112423881925,0.8088235294117646
ARHGEF4,-0.8088235294117646,0.0001484755922323442,0.037008112423881925,0.8088235294117646
SPAG5,0.8058823529411765,0.00016384666473672616,0.03847190925698651,0.8058823529411765
AC127035.1,-0.8058823529411765,0.00016384666473672616,0.03847190925698651,0.8058823529411765
AC011346.1,0.8058823529411765,0.00016384666473672616,0.03847190925698651,0.8058823529411765
HTR2C,0.8058823529411765,0.00016384666473672616,0.03847190925698651,0.8058823529411765
INIP,0.8058823529411765,0.00016384666473672616,0.03847190925698651,0.8058823529411765
AC062022.2,0.8058823529411765,0.00016384666473672616,0.03847190925698651,0.8058823529411765
CLMP,-0.8058823529411765,0.00016384666473672616,0.03847190925698651,0.8058823529411765
TMEM38A,0.8058823529411765,0.00016384666473672616,0.03847190925698651,0.8058823529411765
DMRTC1,0.8029411764705883,0.0001805167946798431,0.040339901365592803,0.8029411764705883
SLC36A1,-0.8029411764705883,0.0001805167946798431,0.040339901365592803,0.8029411764705883
MGAT4C,-0.8029411764705883,0.0001805167946798431,0.040339901365592803,0.8029411764705883
AC066612.1,-0.8029411764705883,0.0001805167946798431,0.040339901365592803,0.8029411764705883
ENPP5,0.8029411764705883,0.0001805167946798431,0.040339901365592803,0.8029411764705883
FSIP2-AS1,0.8029411764705883,0.0001805167946798431,0.040339901365592803,0.8029411764705883
