cell_type,beta,se,t_stat,p_value,n_genes,p_bonferroni,p_fdr,source,supercluster
Splat_422,6.2348919343646525,3.390500933248709,1.8389294258033153,0.0329715687664216,16870,1.0,0.1113067052987252,Siletti,Splatter
EMSN_229,3.791960690800047,2.0699454345399637,1.8319133574855773,0.0334909781006029,16870,1.0,0.1123064132306886,Siletti,Eccentric medium spiny neuron
Splat_375,5.791884807147222,3.2985391755558973,1.7558938969312456,0.0395623388936295,16870,1.0,0.1317871288973224,Siletti,Splatter
Splat_387,2.640208423420393,1.5126287858729917,1.7454437255711983,0.0404629354811139,16870,1.0,0.1339003720197387,Siletti,Splatter
ULIT_128,4.856443512167131,2.806003848394037,1.7307330191106562,0.0417588420962061,16870,1.0,0.1372856050613836,Siletti,Upper-layer intratelencephalic
OPC_2_1-SEAAD,5.940927615790148,3.442725721379904,1.7256465070383014,0.0422146721965525,16870,1.0,0.1378829877588695,SEA-AD,
Misc_167,4.889093123007274,2.8428246703530835,1.719801144964751,0.0427434705315316,16870,1.0,0.1387094559829703,Siletti,Miscellaneous
CA4_195,8.31234976779356,4.843128671247089,1.7163181761291422,0.0430610935139367,16870,1.0,0.1388444233173728,Siletti,Hippocampal CA4
Thex_453,7.576778516401366,4.431588744050087,1.7097205887107767,0.043667974320607,16870,1.0,0.139904401804238,Siletti,Thalamic excitatory
MSN_218,6.018841498491079,3.531252752744874,1.7044493611545026,0.0441577940050671,16870,1.0,0.1405782935730934,Siletti,Medium spiny neuron
Vip_12,2.9556370730034476,1.7498990011013895,1.6890329505549546,0.045615800430488,16870,1.0,0.1443065887832421,SEA-AD,
EMSN_234,7.976743936163827,4.7550728220808205,1.6775229811671324,0.0467293948166244,16870,1.0,0.146905534954763,Siletti,Eccentric medium spiny neuron
Splat_359,3.184831963568474,1.9492578594224697,1.6338689866881353,0.0511525142074423,16870,1.0,0.1590596152814859,Siletti,Splatter
MSN_208,7.491160941816559,4.58946675619847,1.632250834304247,0.0513226626286312,16870,1.0,0.1590596152814859,Siletti,Medium spiny neuron
Midi_438,3.662433109004493,2.246683856342978,1.6301506323039103,0.0515441695643781,16870,1.0,0.1590596152814859,Siletti,Midbrain-derived inhibitory
L2/3 IT_3,4.708180202998176,2.899884479148531,1.6235750895775682,0.052242607268758,16870,1.0,0.1602318991230811,SEA-AD,
Thex_457,4.636229370316305,2.878546551507843,1.6106146929907217,0.0536412218027715,16870,1.0,0.1626910773696482,Siletti,Thalamic excitatory
Midi_440,7.565273669751468,4.698473299007162,1.6101557225727114,0.0536912899470409,16870,1.0,0.1626910773696482,Siletti,Midbrain-derived inhibitory
CBI_305,3.696024617847131,2.303823816612353,1.604300029887673,0.0543333296115522,16870,1.0,0.1632183843478395,Siletti,Cerebellar inhibitory
L5 IT_2,4.820950118594147,3.0080938585587,1.602659473166858,0.0545142913925189,16870,1.0,0.1632183843478395,SEA-AD,
L5 ET_2,7.051001625921172,4.4455900095554775,1.5860665537680148,0.0563714804839607,16870,1.0,0.1677802052274099,SEA-AD,
L4 IT_1,3.2623632773164535,2.064118242496728,1.580511818630286,0.057004227767797,16870,1.0,0.1686654503953052,SEA-AD,
Splat_350,2.465500806717179,1.5726262248706238,1.567760201201026,0.0584779336522963,16870,1.0,0.1720140387550004,Siletti,Splatter
Thex_447,5.568017008860357,3.604515753939294,1.5447337143068935,0.0612147246323656,16870,1.0,0.1790174795934879,Siletti,Thalamic excitatory
DLNP_87,5.887276855069903,3.8380048721719664,1.5339419962065426,0.0625313405528481,16870,1.0,0.1818107762894949,Siletti,Deep-layer near-projecting
MSN_430,3.8542946658907575,2.5321201346341997,1.5221610590950752,0.0639937391228299,16870,1.0,0.1849933952803646,Siletti,Medium spiny neuron
L2/3 IT_10,4.567419326095245,3.0297751062841742,1.5075110085305616,0.0658492274798303,16870,1.0,0.1884110847346606,SEA-AD,
Astro_6-SEAAD,2.1204570149614312,1.4071478597614824,1.506918409640944,0.0659251509210741,16870,1.0,0.1884110847346606,SEA-AD,
L6 CT_2,6.726650966874706,4.476218908130459,1.502752904835962,0.0664607489888891,16870,1.0,0.1885312592872427,SEA-AD,
Mmb_330,5.743257519100533,3.826872640662722,1.5007704876496597,0.0667168273422051,16870,1.0,0.1885312592872427,Siletti,Mammillary body
Mmb_324,4.239955969191112,2.849395474986835,1.4880194786617684,0.0683822266811102,16870,1.0,0.1917109522258085,Siletti,Mammillary body
Thex_451,4.727077499556275,3.1876905422370685,1.4829160600510771,0.0690576998066385,16870,1.0,0.1917109522258085,Siletti,Thalamic excitatory
L5ET_115,3.0391368709483153,2.0520401703191413,1.4810318603439705,0.0693083825700782,16870,1.0,0.1917109522258085,Siletti,Hippocampal CA1-3
Mmb_333,3.251736359579474,2.1962360217010253,1.4805951306913472,0.0693665870876683,16870,1.0,0.1917109522258085,Siletti,Mammillary body
L2/3 IT_7,4.12836436033279,2.802228480446043,1.473243309437659,0.0703520518042979,16870,1.0,0.1933720331014309,SEA-AD,
EMSN_233,3.3500407453485552,2.2907449158869295,1.4624241756972265,0.0718218211331898,16870,1.0,0.1963390001630134,Siletti,Eccentric medium spiny neuron
Splat_411,2.8174752125399345,1.9311416341879144,1.458968706728102,0.0722961722730263,16870,1.0,0.1965674305585526,Siletti,Splatter
CA4_198,4.748406092993473,3.2997388875078912,1.4390248001046164,0.0750810273465778,16870,1.0,0.2030417029856379,Siletti,Hippocampal CA4
Splat_370,6.09354538340711,4.4126458907822945,1.3809278002878265,0.0836597296252862,16870,1.0,0.2250312513450212,Siletti,Splatter
CBI_304,3.739473032046458,2.719150870483982,1.375235582783558,0.0845383435784412,16870,1.0,0.2261850362763614,Siletti,Cerebellar inhibitory
COP_42,4.520874218219246,3.36307825438984,1.3442667331092073,0.0894401150798174,16870,1.0,0.2379812959877698,Siletti,Committed oligodendrocyte precursor
Midi_443,4.678878707120726,3.4878830599160544,1.3414666222305445,0.0898935312876267,16870,1.0,0.2379812959877698,Siletti,Midbrain-derived inhibitory
