# MEAN_SAMPLE_SIZE = 90909
# TOTAL_GENES = 15981
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
Type339      COVAR   15981       9.8465     0.017479       5.1057     0.026905
Type340      COVAR   15981       10.833     0.021951       4.6368    0.0097458
Type341      COVAR   15981       9.9107     0.020866       4.2491    0.0098459
Type342      COVAR   15981       2.3765    0.0067535       3.1939      0.22843
Type343      COVAR   15981       1.5613    0.0044688       3.0407      0.30382
Type344      COVAR   15981       8.1189     0.016746       4.4336     0.033547
Type345      COVAR   15981       14.511     0.029679       4.3533   0.00043002
Type346      COVAR   15981       15.636     0.028214        4.962   0.00081504
Type347      COVAR   15981       17.579      0.03142       5.1981   0.00036108
Type348      COVAR   15981       2.4342    0.0057746       3.8769      0.26505
Type349      COVAR   15981        18.72     0.032291       5.3841   0.00025448
Type350      COVAR   15981       14.163     0.032392       4.0997   0.00027638
Type351      COVAR   15981       11.459     0.031276       3.4543   0.00045545
Type352      COVAR   15981       6.3012      0.01746       3.4759      0.03494
Type353      COVAR   15981       1.2701    0.0046948       2.4095      0.29905
Type354      COVAR   15981     -0.73302   -0.0040531       1.5509      0.68176
Type355      COVAR   15981     0.088747   0.00015302       5.2506      0.49326
Type356      COVAR   15981      -11.837    -0.029861       3.6872      0.99934
Type357      COVAR   15981      -8.3215    -0.019784         4.08       0.9793
Type358      COVAR   15981      -5.0369    -0.010289       4.5203      0.86741
Type359      COVAR   15981      -6.9924    -0.013559       4.6594      0.93327
Type360      COVAR   15981      -6.9597    -0.013085       4.9488      0.92018
Type361      COVAR   15981      -4.8692   -0.0089217       4.9614       0.8368
Type362      COVAR   15981      -2.3011    -0.005841       3.6306      0.73689
Type363      COVAR   15981       7.7739     0.013443       5.3853     0.074448
Type364      COVAR   15981       6.9182     0.012031       5.4172       0.1008
Type365      COVAR   15981       8.8967     0.014493       5.7996     0.062523
Type366      COVAR   15981       10.047     0.017047       5.6408     0.037461
Type367      COVAR   15981       12.809     0.019398        6.341     0.021701
Type368      COVAR   15981       20.136     0.030176       6.2232   0.00060829
Type369      COVAR   15981       21.441     0.028723       6.9213   0.00097658
Type370      COVAR   15981       12.511     0.019294       6.0513     0.019351
Type371      COVAR   15981       14.121     0.021904       5.6875    0.0065244
Type372      COVAR   15981       17.912     0.025944        6.402     0.002576
Type373      COVAR   15981       8.1338     0.015479        4.934     0.049636
Type374      COVAR   15981       2.3811    0.0072681       2.9658      0.21104
Type375      COVAR   15981      -1.9965   -0.0051914        3.577      0.71162
Type376      COVAR   15981      -5.7598     -0.01287       4.0133      0.92437
Type377      COVAR   15981      -6.8102    -0.015478       3.9082      0.95928
Type378      COVAR   15981      -1.4928   -0.0036596       3.7829      0.65343
Type379      COVAR   15981       13.351     0.021585       5.2868    0.0057855
Type380      COVAR   15981       2.1724    0.0045386       4.0504      0.29587
Type381      COVAR   15981       7.1829     0.014672       4.1218     0.040707
Type382      COVAR   15981      -1.4909   -0.0035265       3.8154      0.65201
Type383      COVAR   15981       3.8017     0.009816       3.6746      0.15044
Type384      COVAR   15981       2.7266    0.0054019       4.8966      0.28882
Type385      COVAR   15981       3.4352    0.0092275       3.4829        0.162
Type386      COVAR   15981       5.7695     0.016082       3.2809     0.039342
Type387      COVAR   15981       1.0601    0.0019396       5.2405      0.41985
Type388      COVAR   15981     -0.46066   -0.0012257       3.7194      0.54928
Type389      COVAR   15981        10.27     0.018403       5.4255     0.029197
Type390      COVAR   15981       17.733     0.027983       6.1778    0.0020523
