symbol,specificity,P,neg_log10_p,p_fdr,is_driver,is_hcn1
FRRS1L,0.0024876362970475,0.19284,0.7148028771890306,0.3475250490361853,False,False
EPB41L4B,0.0015811173643316,0.051595,1.2873923832104497,0.14918587282923298,False,False
PTPN3,0.0001220146926559,0.031065,1.5077286420508662,0.10601105381165919,False,False
C9orf152,0.0011008103441489,0.38881,0.41026257376384595,0.5327228332618945,False,False
TXN,0.0014382852397446,0.63795,0.19521335823029545,0.7245393824616259,False,False
TXNDC8,0.0021950246772044,0.78751,0.10374392272281263,0.8313645996829172,False,False
SVEP1,0.0027613227519149,0.65243,0.18546607746789467,0.7351913573543928,False,False
MUSK,0.0023109293286272,0.45957,0.33764832911277476,0.589626539017341,False,False
LPAR1,0.0078701029140552,0.31064,0.5077426224620087,0.4641303141361257,False,False
OR2K2,0.0,0.15149,0.8196160344102362,0.2988472645352426,False,False
KIAA0368,0.0020273490931536,0.21152,0.6746485621944538,0.36802407403375076,False,False
ZNF483,0.0022079116266619,0.49695,0.30368730506235875,0.6187968697413524,False,False
PTGR1,0.0007275816101568,0.71967,0.1428666008362138,0.7827568413530253,False,False
DNAJC25,0.0015843571921733,0.44959,0.34718335712119647,0.5815847328800389,False,False
