gene,estimate,se,zval,pval,k,ci.lb,ci.ub,tau2,I2,stratum,padj
DRG2,0.0074321766021934205,0.06354137134023771,0.11696594589369491,0.9068870394426956,6,-0.11710662275295806,0.13197097595734492,0,0,depleted,0.9818738149195411
DRICH1,0.06341604698213443,0.09216876959837496,0.6880426771288106,0.49142590667362007,6,-0.11723142193005073,0.2440635158943196,0,0,depleted,0.8669876304012764
DROSHA,0.028215677533687762,0.035890085001217265,0.7861691476275631,0.43176839837560343,7,-0.042127596470779245,0.09855895153815478,4.6930965828282566e-4,4.671249598332343,depleted,0.8432656234847595
DRP2,-0.07155820713819482,0.04648163512082755,-1.5394941884505893,0.12368369558249236,7,-0.1626605379175489,0.01954412364115926,4.82209641228539e-7,0.002796392165879036,depleted,0.6484276260960372
DSCAM,0.02646886297317315,0.0753973952137519,0.35105805576086313,0.7255447943833842,7,-0.1213073161739132,0.17424504212025949,0.009912908893505896,25.9542091225572,depleted,0.9389036554055603
DSCAML1,-0.042959665596530944,0.033444200687037726,-1.284517635764015,0.19896089692911392,7,-0.10850909443485461,0.022589763241792724,1.6345105489028934e-6,0.018284951496207773,depleted,0.7082880391639963
DSE,0.16158457276846824,0.046572154349344225,3.469553320561463,5.213245772857073e-4,7,0.07030482756131314,0.25286431797562336,0,0,depleted,0.13859702368434598
DSEL,-0.09333613833690776,0.08397962244773138,-1.111414121860334,0.2663901365002116,7,-0.2579331737697327,0.07126089709591718,0.014685133083679159,32.98166588736457,depleted,0.7554058141797342
DSN1,0.027510981620014526,0.12570220824784695,0.21885837968551153,0.8267603686549209,7,-0.2188608193229192,0.27388278256294823,0.04158958929733447,43.78609976374603,depleted,0.9679379587488359
DSP,-0.3489511048406683,0.20118033175396177,-1.7345189850239748,0.08282604018263365,5,-0.7432573094762531,0.04535509979491653,0.11119797174648195,58.841787163240454,depleted,0.5951463982613076
DST,0.01003790923839489,0.02301071320477973,0.4362276453173924,0.6626715720309165,7,-0.03506225990155362,0.055138078378343405,3.2547959744694906e-6,0.07549994257113161,depleted,0.928025676600797
DSTN,-0.004020981356789625,0.04041081958475508,-0.09950259356547507,0.9207392287535814,7,-0.08322473232865543,0.0751827696150762,0,0,depleted,0.9851353852793697
DSTYK,0.009736815271705477,0.04079673346232158,0.2386665412979217,0.8113641632268394,7,-0.07022331300132488,0.08969694354473583,0.0015084610556682964,12.507983412908567,depleted,0.9634541378035062
DTD1,-0.11939012333334717,0.04348712886910546,-2.745412871305133,0.006043481274599497,7,-0.2046233297078459,-0.03415691695884843,4.2096775266923684e-4,2.6941639346869173,depleted,0.3135169380671585
DTNA,-0.028742792210097293,0.03429794280313734,-0.8380325425077128,0.40201242692381717,7,-0.09596552484806121,0.038479940427866635,0.001463663215023721,17.88564677751003,depleted,0.8335949349378338
DTNB,0.010277078401448937,0.025687579155032902,0.40007967817533224,0.689097831528988,7,-0.040069651592437375,0.06062380839533525,5.57336707078257e-4,11.456880218467951,depleted,0.9342584028351042
DTNBP1,-0.012858715395172164,0.05524203623005647,-0.232770481913842,0.8159396353867965,7,-0.12113111683873966,0.09541368604839533,0.005328855539177993,27.4128736215035,depleted,0.9657546387725008
DTWD1,0.07864702959981763,0.07097226852139699,1.108137463241813,0.2678024537364398,7,-0.06045606060322624,0.21775011980286152,0.015972452406348592,56.453991540175686,depleted,0.7563522210668026
DTWD2,-0.1367774963447011,0.06582911059937867,-2.077766129594224,0.0377309048572761,7,-0.2658001822537872,-0.007754810435614989,0.00798760300145288,28.200032382964416,depleted,0.49022692580296545
DTX1,-0.06668713640357846,0.05107099150582134,-1.3057732861124716,0.19162966714978713,7,-0.16678444040973928,0.03341016760258238,1.0710184050895722e-7,5.048384746074704e-4,depleted,0.703332161657596
DTX2,-0.0145134845367097,0.0891004192723275,-0.1628890711765399,0.8706057758416321,7,-0.1891470973178901,0.1601201282444707,6.405901901431014e-7,0.0010040161174222476,depleted,0.9739536757007219
DTX3,0.014801537260730796,0.08749638852390804,0.16916740805463457,0.8656649648842696,7,-0.15668823302345264,0.18629130754491424,0.02566446932002685,60.311379116206034,depleted,0.9739536757007219
DTX4,0.12025202035151995,0.05604886928577398,2.1454852146685797,0.03191407232070622,7,0.010398255177209742,0.23010578552583016,0,0,depleted,0.47595003562309374
DTYMK,0.012470451917447977,0.09474701508937085,0.13161841463485818,0.8952861194701166,5,-0.17323028530039192,0.19817118913528786,7.64934040951473e-8,1.534356982206954e-4,depleted,0.9801816588422461
DUBR,0.16415533858832582,0.04322020014932143,3.798116112863561,1.4580002401308858e-4,7,0.07944530289104315,0.24886537428560848,2.1318640854411792e-4,1.42339347608989,depleted,0.08523162456386182
DUOX1,0.013460264162851766,0.15665611755202855,0.08592236532595894,0.9315281322969617,7,-0.29358008419699716,0.32050061252270073,0.07423290940196542,51.07835170574511,depleted,0.9880165973952106
DUS1L,-0.022609063880125534,0.052664630693439116,-0.4293026189005848,0.6677030112004971,7,-0.12582984329836888,0.0806117155381178,8.965528986399961e-7,0.003977375224438828,depleted,0.9291206895003079
DUS2,-0.002129850576609377,0.06199838283035995,-0.03435332470585687,0.9725954029709969,6,-0.12364444802384132,0.11938474687062257,0,0,depleted,0.994572735507777
DUS4L,-0.0463049095607334,0.13594427367665338,-0.3406168447438302,0.7333920467280102,5,-0.3127507898714305,0.2201409707499637,2.408019729227777e-6,0.002016331310680203,depleted,0.940343110772203
DUSP1,-0.13852215307558974,0.11642879674836683,-1.1897585214676094,0.2341413166466822,5,-0.3667184014657229,0.08967409531454337,0,0,depleted,0.7371483842341826
DUSP10,-0.018029303580524444,0.1508610163054852,-0.11950936048326827,0.9048718245925359,6,-0.31371146221038526,0.27765285504933634,0.07937842630716324,65.68077789542983,depleted,0.9818318662185604
DUSP11,-0.03638852485455644,0.04872761884357738,-0.7467741235492914,0.4551999178662442,7,-0.13189290284036337,0.0591158531312505,6.158161165166432e-7,0.0029940191217459828,depleted,0.8555176591474061
